firstName ,lastName ,preferredName ,SID ,age ,birthdate ,gender 
Allan,Nance,Allan,301591845,22,4/3/1994,F
Alleen,Nancy,Alleen,301615879,19,10/25/1997,M
Allegra,Nanda,Allegra,303186070,18,9/5/1998,F
Allen,Nanes,Allen,302330794,19,9/11/1997,M
Allen,Nanez,Allen,303545179,25,1/15/1992,F
Allena,Nanfito,Allena,301640672,18,5/1/1998,M
Allene,Nang,Allene,302004948,17,10/30/1999,F
Allie,Nangle,Allie,302844329,24,11/4/1992,M
Alline,Nani,Alline,302408587,23,5/3/1993,M
Allison,Nania,Allison,302985276,17,8/30/1999,M
Allyn,Nanik,Allyn,301426001,24,8/16/1992,M
Allyson,Nanka,Allyson,302970722,20,9/11/1996,F
Alma,Nanke,Alma,302143329,25,1/28/1992,M
Almeda,Nanna,Almeda,303279992,18,11/5/1998,M
Almeta,Nannen,Almeta,302149880,24,9/6/1992,F
Alona,Nanney,Alona,301176516,21,3/4/1995,M
Alonso,Nanni,Alonso,303636923,20,8/15/1996,M
Alonzo,Nannie,Alonzo,302985622,17,5/22/1999,M
Alpha,Nannini,Alpha,303922925,22,3/16/1994,F
Alphonse,Nanny,Alphonse,302582528,18,4/1/1998,M
Alphonso,Nansteel,Alphonso,302871786,18,12/21/1998,F
Alta,Zutter,Alta,302218837,17,8/20/1999,M
Altagracia,Zuver,Altagracia,303563636,20,2/10/1996,F
Altha,Zuvich,Altha,301076810,23,11/5/1993,M
Althea,Zuwkowski,Althea,303282427,24,10/13/1992,F
Alton,Zuziak,Alton,303083258,24,12/12/1992,M
Alva,Zvorsky,Alva,303471945,21,9/1/1995,F
Alva,Zwack,Alva,302373987,17,8/8/1999,M
Alvaro,Zwagerman,Alvaro,302090263,21,1/5/1996,F
Alvera,Zwahlen,Alvera,303529300,19,8/2/1997,M
Alverta,Zwanzig,Alverta,301296266,21,10/24/1995,F
Alvin,Zwart,Alvin,301848465,20,11/7/1996,M
Alvina,Zweier,Alvina,303941758,22,1/25/1995,F
Alyce,Zweifel,Alyce,302593486,24,12/6/1992,M
Alycia,Zweig,Alycia,302733492,18,6/5/1998,F
Alysa,Zwerschke,Alysa,303457819,20,9/9/1996,M
Alyse,Zwick,Alyse,302257710,17,9/17/1999,F
Alysha,Zwicker,Alysha,303616776,19,12/7/1997,M
Alysia,Zwickl,Alysia,303638719,21,6/30/1995,M
Alyson,Zwiebel,Alyson,303937786,19,8/19/1997,M
Alyssa,Zwiefel,Alyssa,301615873,17,4/7/1999,M
Amada,Zwiefelhofer,Amada,302802850,22,4/29/1994,F
Amado,Zwiener,Amado,302550661,18,1/28/1999,M
Amal,Zwigart,Amal,303226313,21,7/16/1995,M
Amalia,Zwilling,Amalia,302253612,20,8/9/1996,F
Amanda,Zwinger,Amanda,303013010,23,5/27/1993,M
Amber,Zwingman,Amber,301898391,22,8/8/1994,M
Amberly,Zwolak,Amberly,302712702,20,7/22/1996,M
Ambrose,Zwolensky,Ambrose,301742650,18,2/20/1998,F
Amee,Zwolinski,Amee,301705244,21,10/7/1995,M
Amelia,Zwolski,Amelia,302028063,20,10/28/1996,F
America,Zybia,America,302852686,21,8/14/1995,M
Ami,Zych,Ami,302972585,22,7/27/1994,F
Amie,Zygmont,Amie,302733544,21,2/14/1995,M
Amiee,Zyla,Amiee,303693699,18,11/9/1998,F
Amina,Zylka,Amina,301110525,23,6/12/1993,M
Amira,Zylstra,Amira,301174407,22,12/6/1994,F
Ammie,Zymowski,Ammie,301992813,21,11/19/1995,M
Amos,Zynda,Amos,302273624,22,1/31/1995,F
Amparo,Zysett,Amparo,301736104,18,12/30/1998,M
